,produto,categoria,Ano,quantidade_L
0,Tinto,VINHO DE MESA,1970,174224052
1,Branco,VINHO DE MESA,1970,748400
2,Rosado,VINHO DE MESA,1970,42236152
3,Tinto,VINHO FINO DE MESA (VINÍFERA),1970,7591557
4,Branco,VINHO FINO DE MESA (VINÍFERA),1970,15562889
5,Rosado,VINHO FINO DE MESA (VINÍFERA),1970,744900
6,Suco de uva integral,SUCO,1970,1097771
7,Suco de uva concentrado,SUCO,1970,0
8,Suco de uva adoçado,SUCO,1970,0
9,Suco de uva orgânico,SUCO,1970,0
10,Suco de uva reconstituído,SUCO,1970,0
11,Espumante,DERIVADOS,1970,0
12,Espumante moscatel,DERIVADOS,1970,0
13,Base espumante,DERIVADOS,1970,0
14,Base espumante moscatel,DERIVADOS,1970,0
15,Base Champenoise champanha,DERIVADOS,1970,0
16,Base Charmat champanha,DERIVADOS,1970,0
17,Bebida de uva,DERIVADOS,1970,0
18,Polpa de uva,DERIVADOS,1970,0
19,Mosto simples,DERIVADOS,1970,7170736
20,Mosto concentrado,DERIVADOS,1970,0
21,Mosto de uva com bagaço,DERIVADOS,1970,0
22,Mosto dessulfitado,DERIVADOS,1970,0
23,Mistelas,DERIVADOS,1970,1072100
24,Néctar de uva,DERIVADOS,1970,0
25,Licorosos,DERIVADOS,1970,282500
26,Compostos,DERIVADOS,1970,0
27,Jeropiga,DERIVADOS,1970,0
28,Filtrado,DERIVADOS,1970,0
29,Frisante,DERIVADOS,1970,0
30,Vinho leve,DERIVADOS,1970,0
31,Vinho licoroso,DERIVADOS,1970,0
32,Brandy,DERIVADOS,1970,0
33,Destilado,DERIVADOS,1970,830030
34,Bagaceira,DERIVADOS,1970,961290
35,Licor de bagaceira,DERIVADOS,1970,0
36,Vinagre,DERIVADOS,1970,0
37,Borra líquida,DERIVADOS,1970,3847673
38,Borra seca,DERIVADOS,1970,0
39,Vinho Composto,DERIVADOS,1970,0
40,Pisco,DERIVADOS,1970,0
41,Vinho orgânico,DERIVADOS,1970,0
42,Espumante orgânico,DERIVADOS,1970,0
43,Destilado alcoólico simples de bagaceira ,DERIVADOS,1970,0
44,Vinho acidificado ,DERIVADOS,1970,0
45,Mosto parcialmente fermentado ,DERIVADOS,1970,0
46,Outros derivados,DERIVADOS,1970,0
47,Tinto,VINHO DE MESA,1971,121133369
48,Branco,VINHO DE MESA,1971,1160500
49,Rosado,VINHO DE MESA,1971,31970782
50,Tinto,VINHO FINO DE MESA (VINÍFERA),1971,7265666
51,Branco,VINHO FINO DE MESA (VINÍFERA),1971,15655709
52,Rosado,VINHO FINO DE MESA (VINÍFERA),1971,664687
53,Suco de uva integral,SUCO,1971,2296654
54,Suco de uva concentrado,SUCO,1971,0
55,Suco de uva adoçado,SUCO,1971,0
56,Suco de uva orgânico,SUCO,1971,0
57,Suco de uva reconstituído,SUCO,1971,0
58,Espumante,DERIVADOS,1971,0
59,Espumante moscatel,DERIVADOS,1971,0
60,Base espumante,DERIVADOS,1971,0
61,Base espumante moscatel,DERIVADOS,1971,0
62,Base Champenoise champanha,DERIVADOS,1971,0
63,Base Charmat champanha,DERIVADOS,1971,0
64,Bebida de uva,DERIVADOS,1971,0
65,Polpa de uva,DERIVADOS,1971,0
66,Mosto simples,DERIVADOS,1971,7646774
67,Mosto concentrado,DERIVADOS,1971,0
68,Mosto de uva com bagaço,DERIVADOS,1971,0
69,Mosto dessulfitado,DERIVADOS,1971,0
70,Mistelas,DERIVADOS,1971,818400
71,Néctar de uva,DERIVADOS,1971,0
72,Licorosos,DERIVADOS,1971,270000
73,Compostos,DERIVADOS,1971,45000
74,Jeropiga,DERIVADOS,1971,0
75,Filtrado,DERIVADOS,1971,0
76,Frisante,DERIVADOS,1971,0
77,Vinho leve,DERIVADOS,1971,0
78,Vinho licoroso,DERIVADOS,1971,0
79,Brandy,DERIVADOS,1971,0
80,Destilado,DERIVADOS,1971,0
81,Bagaceira,DERIVADOS,1971,913200
82,Licor de bagaceira,DERIVADOS,1971,0
83,Vinagre,DERIVADOS,1971,21500
84,Borra líquida,DERIVADOS,1971,3565644
85,Borra seca,DERIVADOS,1971,0
86,Vinho Composto,DERIVADOS,1971,0
87,Pisco,DERIVADOS,1971,0
88,Vinho orgânico,DERIVADOS,1971,0
89,Espumante orgânico,DERIVADOS,1971,0
90,Destilado alcoólico simples de bagaceira ,DERIVADOS,1971,0
91,Vinho acidificado ,DERIVADOS,1971,0
92,Mosto parcialmente fermentado ,DERIVADOS,1971,0
93,Outros derivados,DERIVADOS,1971,0
94,Tinto,VINHO DE MESA,1972,118180926
95,Branco,VINHO DE MESA,1972,1812367
96,Rosado,VINHO DE MESA,1972,26960004
97,Tinto,VINHO FINO DE MESA (VINÍFERA),1972,6782837
98,Branco,VINHO FINO DE MESA (VINÍFERA),1972,13289304
99,Rosado,VINHO FINO DE MESA (VINÍFERA),1972,1006630
100,Suco de uva integral,SUCO,1972,3509440
101,Suco de uva concentrado,SUCO,1972,0
102,Suco de uva adoçado,SUCO,1972,0
103,Suco de uva orgânico,SUCO,1972,0
104,Suco de uva reconstituído,SUCO,1972,0
105,Espumante,DERIVADOS,1972,0
106,Espumante moscatel,DERIVADOS,1972,0
107,Base espumante,DERIVADOS,1972,0
108,Base espumante moscatel,DERIVADOS,1972,0
109,Base Champenoise champanha,DERIVADOS,1972,0
110,Base Charmat champanha,DERIVADOS,1972,0
111,Bebida de uva,DERIVADOS,1972,0
112,Polpa de uva,DERIVADOS,1972,0
113,Mosto simples,DERIVADOS,1972,6051822
114,Mosto concentrado,DERIVADOS,1972,0
115,Mosto de uva com bagaço,DERIVADOS,1972,0
116,Mosto dessulfitado,DERIVADOS,1972,0
117,Mistelas,DERIVADOS,1972,871200
118,Néctar de uva,DERIVADOS,1972,0
119,Licorosos,DERIVADOS,1972,254600
120,Compostos,DERIVADOS,1972,1358300
121,Jeropiga,DERIVADOS,1972,0
122,Filtrado,DERIVADOS,1972,0
123,Frisante,DERIVADOS,1972,0
124,Vinho leve,DERIVADOS,1972,0
125,Vinho licoroso,DERIVADOS,1972,0
126,Brandy,DERIVADOS,1972,0
127,Destilado,DERIVADOS,1972,0
128,Bagaceira,DERIVADOS,1972,755350
129,Licor de bagaceira,DERIVADOS,1972,0
130,Vinagre,DERIVADOS,1972,8200
131,Borra líquida,DERIVADOS,1972,3015037
132,Borra seca,DERIVADOS,1972,0
133,Vinho Composto,DERIVADOS,1972,0
134,Pisco,DERIVADOS,1972,0
135,Vinho orgânico,DERIVADOS,1972,0
136,Espumante orgânico,DERIVADOS,1972,0
137,Destilado alcoólico simples de bagaceira ,DERIVADOS,1972,0
138,Vinho acidificado ,DERIVADOS,1972,0
139,Mosto parcialmente fermentado ,DERIVADOS,1972,0
140,Outros derivados,DERIVADOS,1972,0
141,Tinto,VINHO DE MESA,1973,88589019
142,Branco,VINHO DE MESA,1973,243900
143,Rosado,VINHO DE MESA,1973,27877426
144,Tinto,VINHO FINO DE MESA (VINÍFERA),1973,3419625
145,Branco,VINHO FINO DE MESA (VINÍFERA),1973,7930070
146,Rosado,VINHO FINO DE MESA (VINÍFERA),1973,1018715
147,Suco de uva integral,SUCO,1973,0
148,Suco de uva concentrado,SUCO,1973,0
149,Suco de uva adoçado,SUCO,1973,0
150,Suco de uva orgânico,SUCO,1973,0
151,Suco de uva reconstituído,SUCO,1973,0
152,Espumante,DERIVADOS,1973,0
153,Espumante moscatel,DERIVADOS,1973,0
154,Base espumante,DERIVADOS,1973,0
155,Base espumante moscatel,DERIVADOS,1973,0
156,Base Champenoise champanha,DERIVADOS,1973,0
157,Base Charmat champanha,DERIVADOS,1973,0
158,Bebida de uva,DERIVADOS,1973,0
159,Polpa de uva,DERIVADOS,1973,0
160,Mosto simples,DERIVADOS,1973,21779327
161,Mosto concentrado,DERIVADOS,1973,0
162,Mosto de uva com bagaço,DERIVADOS,1973,0
163,Mosto dessulfitado,DERIVADOS,1973,0
164,Mistelas,DERIVADOS,1973,512900
165,Néctar de uva,DERIVADOS,1973,0
166,Licorosos,DERIVADOS,1973,176500
167,Compostos,DERIVADOS,1973,1628000
168,Jeropiga,DERIVADOS,1973,0
169,Filtrado,DERIVADOS,1973,0
170,Frisante,DERIVADOS,1973,0
171,Vinho leve,DERIVADOS,1973,0
172,Vinho licoroso,DERIVADOS,1973,0
173,Brandy,DERIVADOS,1973,0
174,Destilado,DERIVADOS,1973,0
175,Bagaceira,DERIVADOS,1973,661270
176,Licor de bagaceira,DERIVADOS,1973,0
177,Vinagre,DERIVADOS,1973,0
178,Borra líquida,DERIVADOS,1973,3559922
179,Borra seca,DERIVADOS,1973,0
180,Vinho Composto,DERIVADOS,1973,0
181,Pisco,DERIVADOS,1973,0
182,Vinho orgânico,DERIVADOS,1973,0
183,Espumante orgânico,DERIVADOS,1973,0
184,Destilado alcoólico simples de bagaceira ,DERIVADOS,1973,0
185,Vinho acidificado ,DERIVADOS,1973,0
186,Mosto parcialmente fermentado ,DERIVADOS,1973,0
187,Outros derivados,DERIVADOS,1973,0
188,Tinto,VINHO DE MESA,1974,146544484
189,Branco,VINHO DE MESA,1974,4138768
190,Rosado,VINHO DE MESA,1974,43192093
191,Tinto,VINHO FINO DE MESA (VINÍFERA),1974,10047658
192,Branco,VINHO FINO DE MESA (VINÍFERA),1974,18927471
193,Rosado,VINHO FINO DE MESA (VINÍFERA),1974,2668995
194,Suco de uva integral,SUCO,1974,0
195,Suco de uva concentrado,SUCO,1974,0
196,Suco de uva adoçado,SUCO,1974,0
197,Suco de uva orgânico,SUCO,1974,0
198,Suco de uva reconstituído,SUCO,1974,0
199,Espumante,DERIVADOS,1974,0
200,Espumante moscatel,DERIVADOS,1974,0
201,Base espumante,DERIVADOS,1974,0
202,Base espumante moscatel,DERIVADOS,1974,0
203,Base Champenoise champanha,DERIVADOS,1974,0
204,Base Charmat champanha,DERIVADOS,1974,0
205,Bebida de uva,DERIVADOS,1974,0
206,Polpa de uva,DERIVADOS,1974,0
207,Mosto simples,DERIVADOS,1974,41346735
208,Mosto concentrado,DERIVADOS,1974,0
209,Mosto de uva com bagaço,DERIVADOS,1974,0
210,Mosto dessulfitado,DERIVADOS,1974,0
211,Mistelas,DERIVADOS,1974,826300
212,Néctar de uva,DERIVADOS,1974,0
213,Licorosos,DERIVADOS,1974,135000
214,Compostos,DERIVADOS,1974,0
215,Jeropiga,DERIVADOS,1974,0
216,Filtrado,DERIVADOS,1974,0
217,Frisante,DERIVADOS,1974,0
218,Vinho leve,DERIVADOS,1974,0
219,Vinho licoroso,DERIVADOS,1974,0
220,Brandy,DERIVADOS,1974,0
221,Destilado,DERIVADOS,1974,0
222,Bagaceira,DERIVADOS,1974,424620
223,Licor de bagaceira,DERIVADOS,1974,0
224,Vinagre,DERIVADOS,1974,35300
225,Borra líquida,DERIVADOS,1974,5136979
226,Borra seca,DERIVADOS,1974,0
227,Vinho Composto,DERIVADOS,1974,0
228,Pisco,DERIVADOS,1974,0
229,Vinho orgânico,DERIVADOS,1974,0
230,Espumante orgânico,DERIVADOS,1974,0
231,Destilado alcoólico simples de bagaceira ,DERIVADOS,1974,0
232,Vinho acidificado ,DERIVADOS,1974,0
233,Mosto parcialmente fermentado ,DERIVADOS,1974,0
234,Outros derivados,DERIVADOS,1974,0
235,Tinto,VINHO DE MESA,1975,144274134
236,Branco,VINHO DE MESA,1975,1441507
237,Rosado,VINHO DE MESA,1975,31685568
238,Tinto,VINHO FINO DE MESA (VINÍFERA),1975,14731106
239,Branco,VINHO FINO DE MESA (VINÍFERA),1975,21933695
240,Rosado,VINHO FINO DE MESA (VINÍFERA),1975,2759789
241,Suco de uva integral,SUCO,1975,0
242,Suco de uva concentrado,SUCO,1975,0
243,Suco de uva adoçado,SUCO,1975,0
244,Suco de uva orgânico,SUCO,1975,0
245,Suco de uva reconstituído,SUCO,1975,0
246,Espumante,DERIVADOS,1975,0
247,Espumante moscatel,DERIVADOS,1975,0
248,Base espumante,DERIVADOS,1975,0
249,Base espumante moscatel,DERIVADOS,1975,0
250,Base Champenoise champanha,DERIVADOS,1975,0
251,Base Charmat champanha,DERIVADOS,1975,0
252,Bebida de uva,DERIVADOS,1975,0
253,Polpa de uva,DERIVADOS,1975,0
254,Mosto simples,DERIVADOS,1975,48185206
255,Mosto concentrado,DERIVADOS,1975,0
256,Mosto de uva com bagaço,DERIVADOS,1975,0
257,Mosto dessulfitado,DERIVADOS,1975,0
258,Mistelas,DERIVADOS,1975,223000
259,Néctar de uva,DERIVADOS,1975,0
260,Licorosos,DERIVADOS,1975,24000
261,Compostos,DERIVADOS,1975,0
262,Jeropiga,DERIVADOS,1975,0
263,Filtrado,DERIVADOS,1975,0
264,Frisante,DERIVADOS,1975,0
265,Vinho leve,DERIVADOS,1975,0
266,Vinho licoroso,DERIVADOS,1975,0
267,Brandy,DERIVADOS,1975,0
268,Destilado,DERIVADOS,1975,0
269,Bagaceira,DERIVADOS,1975,576098
270,Licor de bagaceira,DERIVADOS,1975,0
271,Vinagre,DERIVADOS,1975,0
272,Borra líquida,DERIVADOS,1975,4624839
273,Borra seca,DERIVADOS,1975,0
274,Vinho Composto,DERIVADOS,1975,0
275,Pisco,DERIVADOS,1975,0
276,Vinho orgânico,DERIVADOS,1975,0
277,Espumante orgânico,DERIVADOS,1975,0
278,Destilado alcoólico simples de bagaceira ,DERIVADOS,1975,0
279,Vinho acidificado ,DERIVADOS,1975,0
280,Mosto parcialmente fermentado ,DERIVADOS,1975,0
281,Outros derivados,DERIVADOS,1975,0
282,Tinto,VINHO DE MESA,1976,118360170
283,Branco,VINHO DE MESA,1976,1871473
284,Rosado,VINHO DE MESA,1976,24333795
285,Tinto,VINHO FINO DE MESA (VINÍFERA),1976,12405154
286,Branco,VINHO FINO DE MESA (VINÍFERA),1976,19874659
287,Rosado,VINHO FINO DE MESA (VINÍFERA),1976,2220777
288,Suco de uva integral,SUCO,1976,0
289,Suco de uva concentrado,SUCO,1976,0
290,Suco de uva adoçado,SUCO,1976,0
291,Suco de uva orgânico,SUCO,1976,0
292,Suco de uva reconstituído,SUCO,1976,0
293,Espumante,DERIVADOS,1976,0
294,Espumante moscatel,DERIVADOS,1976,0
295,Base espumante,DERIVADOS,1976,0
296,Base espumante moscatel,DERIVADOS,1976,0
297,Base Champenoise champanha,DERIVADOS,1976,0
298,Base Charmat champanha,DERIVADOS,1976,0
299,Bebida de uva,DERIVADOS,1976,0
300,Polpa de uva,DERIVADOS,1976,0
301,Mosto simples,DERIVADOS,1976,18220527
302,Mosto concentrado,DERIVADOS,1976,0
303,Mosto de uva com bagaço,DERIVADOS,1976,0
304,Mosto dessulfitado,DERIVADOS,1976,0
305,Mistelas,DERIVADOS,1976,205500
306,Néctar de uva,DERIVADOS,1976,0
307,Licorosos,DERIVADOS,1976,4400
308,Compostos,DERIVADOS,1976,0
309,Jeropiga,DERIVADOS,1976,107500
310,Filtrado,DERIVADOS,1976,0
311,Frisante,DERIVADOS,1976,0
312,Vinho leve,DERIVADOS,1976,0
313,Vinho licoroso,DERIVADOS,1976,0
314,Brandy,DERIVADOS,1976,0
315,Destilado,DERIVADOS,1976,0
316,Bagaceira,DERIVADOS,1976,705912
317,Licor de bagaceira,DERIVADOS,1976,0
318,Vinagre,DERIVADOS,1976,288000
319,Borra líquida,DERIVADOS,1976,3393173
320,Borra seca,DERIVADOS,1976,0
321,Vinho Composto,DERIVADOS,1976,0
322,Pisco,DERIVADOS,1976,0
323,Vinho orgânico,DERIVADOS,1976,0
324,Espumante orgânico,DERIVADOS,1976,0
325,Destilado alcoólico simples de bagaceira ,DERIVADOS,1976,0
326,Vinho acidificado ,DERIVADOS,1976,0
327,Mosto parcialmente fermentado ,DERIVADOS,1976,0
328,Outros derivados,DERIVADOS,1976,0
329,Tinto,VINHO DE MESA,1977,154801826
330,Branco,VINHO DE MESA,1977,4954387
331,Rosado,VINHO DE MESA,1977,35603565
332,Tinto,VINHO FINO DE MESA (VINÍFERA),1977,16131758
333,Branco,VINHO FINO DE MESA (VINÍFERA),1977,20409231
334,Rosado,VINHO FINO DE MESA (VINÍFERA),1977,4723982
335,Suco de uva integral,SUCO,1977,0
336,Suco de uva concentrado,SUCO,1977,0
337,Suco de uva adoçado,SUCO,1977,0
338,Suco de uva orgânico,SUCO,1977,0
339,Suco de uva reconstituído,SUCO,1977,0
340,Espumante,DERIVADOS,1977,0
341,Espumante moscatel,DERIVADOS,1977,0
342,Base espumante,DERIVADOS,1977,0
343,Base espumante moscatel,DERIVADOS,1977,0
344,Base Champenoise champanha,DERIVADOS,1977,0
345,Base Charmat champanha,DERIVADOS,1977,0
346,Bebida de uva,DERIVADOS,1977,0
347,Polpa de uva,DERIVADOS,1977,0
348,Mosto simples,DERIVADOS,1977,22097156
349,Mosto concentrado,DERIVADOS,1977,0
350,Mosto de uva com bagaço,DERIVADOS,1977,0
351,Mosto dessulfitado,DERIVADOS,1977,0
352,Mistelas,DERIVADOS,1977,553200
353,Néctar de uva,DERIVADOS,1977,0
354,Licorosos,DERIVADOS,1977,525000
355,Compostos,DERIVADOS,1977,0
356,Jeropiga,DERIVADOS,1977,12500
357,Filtrado,DERIVADOS,1977,0
358,Frisante,DERIVADOS,1977,0
359,Vinho leve,DERIVADOS,1977,0
360,Vinho licoroso,DERIVADOS,1977,0
361,Brandy,DERIVADOS,1977,0
362,Destilado,DERIVADOS,1977,0
363,Bagaceira,DERIVADOS,1977,828000
364,Licor de bagaceira,DERIVADOS,1977,0
365,Vinagre,DERIVADOS,1977,0
366,Borra líquida,DERIVADOS,1977,0
367,Borra seca,DERIVADOS,1977,0
368,Vinho Composto,DERIVADOS,1977,0
369,Pisco,DERIVADOS,1977,0
370,Vinho orgânico,DERIVADOS,1977,0
371,Espumante orgânico,DERIVADOS,1977,0
372,Destilado alcoólico simples de bagaceira ,DERIVADOS,1977,0
373,Vinho acidificado ,DERIVADOS,1977,0
374,Mosto parcialmente fermentado ,DERIVADOS,1977,0
375,Outros derivados,DERIVADOS,1977,0
376,Tinto,VINHO DE MESA,1978,162917363
377,Branco,VINHO DE MESA,1978,5079748
378,Rosado,VINHO DE MESA,1978,32056558
379,Tinto,VINHO FINO DE MESA (VINÍFERA),1978,15000671
380,Branco,VINHO FINO DE MESA (VINÍFERA),1978,17640081
381,Rosado,VINHO FINO DE MESA (VINÍFERA),1978,4110181
382,Suco de uva integral,SUCO,1978,0
383,Suco de uva concentrado,SUCO,1978,0
384,Suco de uva adoçado,SUCO,1978,0
385,Suco de uva orgânico,SUCO,1978,0
386,Suco de uva reconstituído,SUCO,1978,0
387,Espumante,DERIVADOS,1978,0
388,Espumante moscatel,DERIVADOS,1978,0
389,Base espumante,DERIVADOS,1978,0
390,Base espumante moscatel,DERIVADOS,1978,0
391,Base Champenoise champanha,DERIVADOS,1978,0
392,Base Charmat champanha,DERIVADOS,1978,0
393,Bebida de uva,DERIVADOS,1978,0
394,Polpa de uva,DERIVADOS,1978,0
395,Mosto simples,DERIVADOS,1978,40052456
396,Mosto concentrado,DERIVADOS,1978,0
397,Mosto de uva com bagaço,DERIVADOS,1978,0
398,Mosto dessulfitado,DERIVADOS,1978,0
399,Mistelas,DERIVADOS,1978,242150
400,Néctar de uva,DERIVADOS,1978,0
401,Licorosos,DERIVADOS,1978,479971
402,Compostos,DERIVADOS,1978,75000
403,Jeropiga,DERIVADOS,1978,60000
404,Filtrado,DERIVADOS,1978,0
405,Frisante,DERIVADOS,1978,0
406,Vinho leve,DERIVADOS,1978,0
407,Vinho licoroso,DERIVADOS,1978,0
408,Brandy,DERIVADOS,1978,0
409,Destilado,DERIVADOS,1978,0
410,Bagaceira,DERIVADOS,1978,698200
411,Licor de bagaceira,DERIVADOS,1978,0
412,Vinagre,DERIVADOS,1978,0
413,Borra líquida,DERIVADOS,1978,0
414,Borra seca,DERIVADOS,1978,0
415,Vinho Composto,DERIVADOS,1978,0
416,Pisco,DERIVADOS,1978,0
417,Vinho orgânico,DERIVADOS,1978,0
418,Espumante orgânico,DERIVADOS,1978,0
419,Destilado alcoólico simples de bagaceira ,DERIVADOS,1978,0
420,Vinho acidificado ,DERIVADOS,1978,0
421,Mosto parcialmente fermentado ,DERIVADOS,1978,0
422,Outros derivados,DERIVADOS,1978,0
423,Tinto,VINHO DE MESA,1979,154736439
424,Branco,VINHO DE MESA,1979,7146395
425,Rosado,VINHO DE MESA,1979,49370148
426,Tinto,VINHO FINO DE MESA (VINÍFERA),1979,14356453
427,Branco,VINHO FINO DE MESA (VINÍFERA),1979,25727132
428,Rosado,VINHO FINO DE MESA (VINÍFERA),1979,6046125
429,Suco de uva integral,SUCO,1979,0
430,Suco de uva concentrado,SUCO,1979,0
431,Suco de uva adoçado,SUCO,1979,0
432,Suco de uva orgânico,SUCO,1979,0
433,Suco de uva reconstituído,SUCO,1979,0
434,Espumante,DERIVADOS,1979,0
435,Espumante moscatel,DERIVADOS,1979,0
436,Base espumante,DERIVADOS,1979,0
437,Base espumante moscatel,DERIVADOS,1979,0
438,Base Champenoise champanha,DERIVADOS,1979,0
439,Base Charmat champanha,DERIVADOS,1979,0
440,Bebida de uva,DERIVADOS,1979,0
441,Polpa de uva,DERIVADOS,1979,0
442,Mosto simples,DERIVADOS,1979,34318456
443,Mosto concentrado,DERIVADOS,1979,0
444,Mosto de uva com bagaço,DERIVADOS,1979,0
445,Mosto dessulfitado,DERIVADOS,1979,0
446,Mistelas,DERIVADOS,1979,60300
447,Néctar de uva,DERIVADOS,1979,0
448,Licorosos,DERIVADOS,1979,34000
449,Compostos,DERIVADOS,1979,0
450,Jeropiga,DERIVADOS,1979,20000
451,Filtrado,DERIVADOS,1979,0
452,Frisante,DERIVADOS,1979,0
453,Vinho leve,DERIVADOS,1979,0
454,Vinho licoroso,DERIVADOS,1979,0
455,Brandy,DERIVADOS,1979,0
456,Destilado,DERIVADOS,1979,0
457,Bagaceira,DERIVADOS,1979,938090
458,Licor de bagaceira,DERIVADOS,1979,0
459,Vinagre,DERIVADOS,1979,0
460,Borra líquida,DERIVADOS,1979,0
461,Borra seca,DERIVADOS,1979,0
462,Vinho Composto,DERIVADOS,1979,0
463,Pisco,DERIVADOS,1979,0
464,Vinho orgânico,DERIVADOS,1979,0
465,Espumante orgânico,DERIVADOS,1979,0
466,Destilado alcoólico simples de bagaceira ,DERIVADOS,1979,0
467,Vinho acidificado ,DERIVADOS,1979,0
468,Mosto parcialmente fermentado ,DERIVADOS,1979,0
469,Outros derivados,DERIVADOS,1979,0
470,Tinto,VINHO DE MESA,1980,101659755
471,Branco,VINHO DE MESA,1980,5363452
472,Rosado,VINHO DE MESA,1980,23284978
473,Tinto,VINHO FINO DE MESA (VINÍFERA),1980,9296741
474,Branco,VINHO FINO DE MESA (VINÍFERA),1980,19326572
475,Rosado,VINHO FINO DE MESA (VINÍFERA),1980,3117350
476,Suco de uva integral,SUCO,1980,0
477,Suco de uva concentrado,SUCO,1980,0
478,Suco de uva adoçado,SUCO,1980,0
479,Suco de uva orgânico,SUCO,1980,0
480,Suco de uva reconstituído,SUCO,1980,0
481,Espumante,DERIVADOS,1980,0
482,Espumante moscatel,DERIVADOS,1980,0
483,Base espumante,DERIVADOS,1980,0
484,Base espumante moscatel,DERIVADOS,1980,0
485,Base Champenoise champanha,DERIVADOS,1980,0
486,Base Charmat champanha,DERIVADOS,1980,0
487,Bebida de uva,DERIVADOS,1980,0
488,Polpa de uva,DERIVADOS,1980,0
489,Mosto simples,DERIVADOS,1980,37553414
490,Mosto concentrado,DERIVADOS,1980,0
491,Mosto de uva com bagaço,DERIVADOS,1980,0
492,Mosto dessulfitado,DERIVADOS,1980,0
493,Mistelas,DERIVADOS,1980,0
494,Néctar de uva,DERIVADOS,1980,0
495,Licorosos,DERIVADOS,1980,0
496,Compostos,DERIVADOS,1980,0
497,Jeropiga,DERIVADOS,1980,0
498,Filtrado,DERIVADOS,1980,0
499,Frisante,DERIVADOS,1980,0
500,Vinho leve,DERIVADOS,1980,0
501,Vinho licoroso,DERIVADOS,1980,0
502,Brandy,DERIVADOS,1980,0
503,Destilado,DERIVADOS,1980,0
504,Bagaceira,DERIVADOS,1980,0
505,Licor de bagaceira,DERIVADOS,1980,0
506,Vinagre,DERIVADOS,1980,0
507,Borra líquida,DERIVADOS,1980,0
508,Borra seca,DERIVADOS,1980,0
509,Vinho Composto,DERIVADOS,1980,0
510,Pisco,DERIVADOS,1980,0
511,Vinho orgânico,DERIVADOS,1980,0
512,Espumante orgânico,DERIVADOS,1980,0
